,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
22188.pdb,42.3,2.9,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,780.538,136.318,2120.33,-2127.73,-8256.87,5756.13,-657.158,359.116,-1889.33
22191.pdb,44.8,2.94,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,770.643,130.59,2122.39,-2138.06,-8247.26,5755.63,-657.508,356.501,-1907.08
22190.pdb,45.1,2.98,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,652.357,129.738,2101.98,-2140.76,-8257.52,5782.87,-657.002,349.848,-2038.48
22169.pdb,46.1,3.2,24.06460275348276,-3,18361,4887,8393,16079,1754,2,4,15,42,265,319,578,53,286,346,642,363,912,1623,539,1987,646.405,126.342,2015.23,-2221.34,-8297.88,5887.98,-635.056,357.431,-2120.89
22189.pdb,46.3,3.04,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,892.823,135.744,2082.54,-2127.86,-8278.18,5753.59,-677.656,357.255,-1861.74
22186.pdb,47.3,3.07,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,783.916,132.08,2115.46,-2124.92,-8248.68,5758.91,-657.73,354.957,-1886.01
22177.pdb,49.1,3.2,24.04071872260421,-3,18334,4571,8393,16079,1754,2,4,15,42,265,319,578,53,286,346,642,363,912,1623,539,1987,646.157,132.108,2065.43,-2216.59,-8305.53,5899.37,-622.731,362.507,-2039.26
22163.pdb,49.3,3.2,24.274441024772823,-3,18284,5568,8393,16079,1754,2,4,15,42,265,319,578,53,286,346,642,363,912,1623,539,1987,651.169,126.373,2059.7,-2251.88,-8280.84,5901.76,-622.268,363.216,-2052.77
22184.pdb,49.9,3.16,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,770.098,134.055,2092.45,-2137.3,-8264.62,5763.33,-665.815,352.499,-1955.31
22183.pdb,50.2,3.15,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,774.434,136.687,2107.52,-2127.65,-8292.76,5767.96,-664.965,348.439,-1950.33
22137.pdb,51.0,3.2,24.88224359061569,-3,18361,5008,8393,15749,1754,2,4,15,42,265,319,578,53,286,346,642,363,912,1623,539,1987,622.472,126.468,2031.45,-2201.74,-8344.38,5900.28,-645.119,360.093,-2150.47
22181.pdb,51.3,3.2,23.80997325446457,-2,18373,5008,8566,16079,1754,2,3,16,42,275,319,578,43,269,313,583,390,945,1682,539,1987,790.937,130.233,2131.99,-2117.22,-8259.35,5757.64,-653.833,358.092,-1861.51
