,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
24306.pdb,33.4,7.0,32.92013376874849,-17,24147,6316,7717,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,326.413,96.3294,1981.9,-5512.23,-9912.13,8113.04,-1292.86,532.859,-5666.68
24384.pdb,33.6,7.0,33.68077864570543,-15,24269,6862,8248,3075,2035,0,8,43,118,589,327,1018,425,1110,622,1898,689,779,2415,205,1328,331.618,97.1629,1988.36,-5040.55,-10418.4,8141.87,-1274.33,535.298,-5638.93
24321.pdb,34.1,7.0,32.92013376874849,-17,24120,5122,8248,3075,1972,0,8,43,103,554,320,940,455,1145,672,1933,689,817,2377,226,1370,325.874,101.366,1991.98,-5621.84,-9842.57,8117.67,-1279.19,536.542,-5670.18
24348.pdb,34.4,7.0,32.910369574399674,-17,24154,6316,8248,2986,2098,0,8,43,103,539,306,969,455,1115,643,1992,653,758,2388,205,1349,329.185,94.5562,1949.84,-5504.88,-9953.39,8162.87,-1273.4,533.274,-5661.95
24404.pdb,34.6,7.0,32.92013376874849,-17,24299,6316,10020,3075,2098,0,8,43,103,554,291,969,455,1145,612,1993,689,742,2452,186,1284,331.102,106.504,1992.94,-5540.21,-9963.59,8087.39,-1283.0,530.693,-5738.16
24433.pdb,34.6,7.0,32.92013376874849,-17,24196,6316,8583,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,325.177,94.8761,1960.79,-5529.63,-9916.21,8069.53,-1289.17,531.889,-5752.75
24345.pdb,34.6,7.0,32.80328018827364,-17,24180,6316,8248,2610,2098,0,8,42,103,539,306,969,455,1115,643,1992,653,758,2388,205,1349,358.404,124.824,1996.59,-5429.43,-10030.0,8185.21,-1265.39,532.763,-5527.0
24430.pdb,34.6,7.0,32.91942931891419,-17,24196,6316,8583,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,338.273,92.6834,2010.25,-5490.88,-9937.49,8087.32,-1282.82,540.238,-5642.42
24349.pdb,34.6,7.0,32.910369574399674,-17,24154,6316,8248,2986,2098,0,8,43,103,539,306,969,455,1115,643,1992,653,758,2388,205,1349,324.16,110.861,1951.06,-5510.16,-9947.11,8167.95,-1278.23,527.944,-5653.52
24396.pdb,34.6,7.0,32.92013376874849,-17,24299,6257,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,345.931,100.212,2006.68,-5486.54,-9985.45,8097.51,-1279.54,532.946,-5668.25
24401.pdb,34.6,7.0,32.92013376874849,-17,24325,6316,8914,3075,2098,0,8,43,103,554,291,969,455,1145,612,1993,689,742,2452,186,1284,349.31,99.2258,2079.7,-5477.29,-9982.6,8090.7,-1269.82,539.839,-5570.93
24355.pdb,34.6,7.0,32.746835693549365,-17,24216,7514,8248,3075,2099,0,8,42,103,541,306,967,455,1114,643,1993,653,758,2387,205,1349,322.695,94.1575,1961.99,-5499.47,-9935.41,8111.65,-1293.95,536.487,-5701.86
24336.pdb,34.6,7.0,32.58014925999567,-17,24216,6316,8248,2493,2097,0,8,43,103,539,306,969,455,1115,643,1992,652,758,2390,205,1349,336.802,91.5902,1987.73,-5461.25,-9964.49,8128.1,-1280.7,543.071,-5619.15
24364.pdb,34.6,7.0,33.082592781614515,-17,24200,6316,8248,3122,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,467.764,95.2988,1988.77,-5464.97,-9979.29,8105.62,-1294.89,538.052,-5543.65
24367.pdb,34.6,7.0,32.92013376874849,-17,24173,6316,8248,3108,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,404.176,155.059,1982.02,-5511.19,-9974.41,8112.16,-1293.94,538.355,-5587.76
24371.pdb,34.6,7.0,32.92013376874849,-17,24147,6316,7717,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328,340.237,94.4639,2008.2,-5352.3,-10121.8,8140.33,-1261.43,535.748,-5616.51
