,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
25924.pdb,-0.6276053728578048,6.3,0.18757028105582013,0.17357154578861597,-0.9742677942418468,0.1681897855626372,0.3106339001067431,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,-0.7416414811202459,0.0054553001011644195,-0.06604935251999779,0.4723129522328285,-0.2834002142743559,0.5870749110751583,-0.7652420925207166,0.026360827930185262,0.03720838267119425
25945.pdb,-0.4817044928207506,5.7,1.068588389735302,0.17357154578861597,0.028229667536346505,2.398604593953001,0.3106339001067431,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,-0.6455027706046567,-0.4870771628420404,-2.0347003801834878,0.06418984436016931,-0.37508397041331176,0.9327490385775429,-0.980869006401976,0.18451389177328545,-1.3113829811035345
25998.pdb,-0.44279759147753617,6.3,0.3299581339250691,0.17357154578861597,0.028229667536346505,0.027897169683072737,-2.4154268782376276,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,0.07180614712352096,-0.1880712525249888,1.0787215750340504,-0.023819321215847032,-0.2680426077674528,1.0224809145413958,1.0913313058676446,-0.16212296048556754,1.198806203388421
25930.pdb,-0.423344140805929,5.5,-0.22138435181930655,0.17357154578861597,1.686206238938743,0.027897169683072737,0.05418102297477422,0.12261754253879927,1.4106678248593263,,,0.0,0.4616213234225469,-1.4101681948115181,0.32553340543596593,1.4031238875679808,0.31000049594757617,-2.0039282613958993,0.10344530504778313,1.1885502079261514,-2.269570591111235,-1.9534211718450578,-1.9363053915549566,-0.13995648250769513,0.6837824177552062,-1.221519767398967,0.3620852187645818,0.18065321946451157,-0.894600183640506,0.6557231971591008,0.6824557671238973,-2.35466547940823,-0.8955598772121192,0.11970553402008945
25999.pdb,-0.423344140805929,5.5,0.3299581339250691,0.17357154578861597,0.028229667536346505,0.027897169683072737,-2.4154268782376276,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,-0.04013618703846683,1.843191199674249,-0.8150312617104032,0.21427096550617056,-0.5614537215572477,0.8002152750474025,-0.7996213836369892,-0.9238907737909658,-0.38020823829184924
25926.pdb,-0.423344140805929,5.5,0.18757028105582013,0.17357154578861597,-0.9742677942418468,0.1681897855626372,0.3106339001067431,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,-0.6697099084122362,-0.32086222961799293,0.10398018989810606,0.3583665766507807,-0.134327507504335,0.40435213217539795,-0.3415058697489502,-0.5215920423713153,0.0961891046700632
26027.pdb,-0.423344140805929,5.6,-0.0031173736453450596,0.17357154578861597,0.9150543452632098,0.027897169683072737,0.8685021717899222,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,-1.5910862521141425,-0.3153408136604329,-1.3073715024910084,-0.024706063438274597,0.21404767167859237,-0.4708052440531433,0.20141189555922367,0.943281963087982,-1.175784215093277
26030.pdb,-0.3779527559055121,6.3,0.10691359673422789,0.17357154578861597,0.9150543452632098,-0.723500569604086,0.3106339001067431,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,0.07312311576071819,-0.4154003199013511,-0.3557030197708854,0.036257464353675856,-0.13825351217527454,0.010227137021829745,-0.29667527413333294,0.8067937025110595,-0.4097934236031767
25940.pdb,-0.36822603056970843,6.3,-1.4409757256967004,-1.7704297670438829,-2.0924380400713702,-3.0442733339846777,0.3106339001067431,0.12261754253879927,-0.5175676763976589,,,0.0,-2.0200549112970605,-1.4101681948115181,0.5505935375892244,-2.6357747794501343,0.31000049594757617,0.2862754659136999,2.777108573975054,-0.02713584949603338,0.08405817004115727,2.515506837633517,-0.18455899531783723,3.778825027707738,3.0350342402117145,0.8596669561302615,-0.3660030366690077,0.95661267609495,-0.851149814741515,0.6578016702201889,-0.28351982739251824,0.8735041173549435,0.88028738128325,1.0814137052620585
26022.pdb,-0.36822603056970843,6.3,0.047051213839295274,0.17357154578861597,0.9536119399469865,0.027897169683072737,2.1524318358727013,0.12261754253879927,-0.5175676763976589,,,0.0,0.4616213234225469,0.3567895432655648,0.32553340543596593,0.20981291776717406,0.31000049594757617,0.2862754659136999,0.10344530504778313,-0.02713584949603338,0.08405817004115727,-0.010408993810894935,-0.18455899531783723,-0.13995648250769513,-0.4358613072240833,-0.32046236838528763,-0.1812848967911999,1.7769430989096457,1.977336189249377,-1.3709035081241445,0.5629581114819657,1.3564643989563436,0.731633500410703,1.1104299447020105
