,tm,ph,sasa,charge,volume,helix,sheet,coil,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
5170.pdb,-1.0,7.4,-0.14583918755815242,3.082207001484487,3.9976756351098843,0.9746794344808964,0.5627314338711377,-2.2910949705198163,1.5558058581569336,-0.44040197506088163,-0.42129649207322345,-1.0707273545831177,1.538063005925257,-3.2251812946925624,-0.2259917544784299,0.32215132512585926,-0.12483255092573753
5169.pdb,-0.7944710166072494,7.4,-0.72274732974392,0.0,-0.030383631195099358,0.9746794344808964,0.5627314338711377,-1.2358172045032114,-1.1910595137845876,-0.6018198126480178,0.45297261814630957,-0.16273529340783838,-0.254948795154134,1.689201515012,-0.6661457736151432,-1.1157494613585237,-0.5771794866141264
5242.pdb,-0.33773994240113664,7.4,-0.4646112541112507,0.0,0.6178005009670202,0.9746794344808964,0.5627314338711377,0.06529231382407986,0.33096010583967966,-0.5529193244691266,-0.5838952800640613,0.3458951422253574,-0.42866263773633745,0.18580716719729565,-0.6174312718996506,0.04101013525693442,-0.43690553988763003
5168.pdb,-0.28699204526712413,7.4,-0.4594138834609329,0.0,-0.597544746836954,0.9746794344808964,0.5627314338711377,-2.9807429741972613,0.31084480696053224,-0.489315152893795,0.7393765283115218,0.20038409037475213,0.0348889748063764,0.25488143406652725,-0.2069071037817047,-0.17668828730716743,-0.12085804031716574
5260.pdb,0.04286928610395733,7.1,1.053995145426906,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,-0.8508493687337723,-0.5688103969205134,0.11324048812558778,0.4246523214334824,-0.42213978593977086,-0.19361179790491106,-0.6360685322638066,-1.0782789996454418,-0.6379632211691859
5253.pdb,0.05809365524416094,7.1,0.3524495037351844,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,1.4485718180328742,1.6948299102366322,1.1491673001032174,-1.3701130525365215,1.1995613284824722,-0.48894508066078096,1.7562704406300287,1.5878954054483259,1.6685783161252608
5262.pdb,0.06824323467096359,7.0,1.053995145426906,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,-0.07629147714145082,-0.5466814531132947,-0.021962233978687584,0.665647740996592,-0.6267084340596664,-0.22689798004977635,-0.6334532505210675,-0.6277767337303763,-0.5119860161152588
5254.pdb,0.08854239352456852,7.0,0.3524495037351844,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,1.1544985124332356,1.7034770030489883,1.3177263009014333,-1.4127054306726754,1.338429410151445,-0.29216500386322913,1.6831296878565054,1.7173348834411604,1.6526080098617268
5220.pdb,0.10884155237817347,7.0,-1.3658205290164804,0.0,-0.597544746836954,0.9746794344808964,-1.688194301613413,0.34709944452169594,-0.8126160346939746,-0.6117657821899449,-1.0564251340387163,1.0197065643393126,-1.024216172162157,0.7845233323127022,-0.5502206329450415,-0.291399303670686,-0.6836536695702061
5259.pdb,0.10884155237817347,7.0,1.053995145426906,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,-0.6242074905824331,-0.5692581604267298,-0.3345074283867994,0.5858838328507024,-0.5534121783456367,-0.3614568274785103,-0.6561710710326194,-0.9216335315452565,-0.6575319376572578
