,tm,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
22103.pdb,-1.0,25.004530086778104,-0.07689464481087917,-1.0771250419061489,0.25128050089156195,-1.7237487033603567,0.3070089512847606,-1.4562899148213275,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,1.1688906709654439,-1.0820155453581337,-0.016309455718165524,-0.053004987703418986,0.7502239654206065,-0.3987182585805192,-0.17407765595569946,1.5573221829020703,-1.3039978025466759,1.7921391914910227,1.1302813577280366,-0.2306190076711262,-0.4592665592552175,0.35231491353861694,-0.5303460141842978,-0.11322936009775537,1.4239726580266332,-0.031976970577145075,0.8296811938247894,0.018996142270498843
22167.pdb,-0.586510263929619,24.31367907550186,-0.07689464481087917,-1.6298374628735357,-2.8994549583527114,0.780490433973652,0.3070089512847606,-1.5301678044279436,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,1.1688906709654439,-1.0820155453581337,-0.016309455718165524,-0.053004987703418986,0.6611044878868408,-0.34691628010352293,-0.17407765595569946,1.5573221829020703,-1.3039978025466759,1.723049713314383,1.3068989699748272,-0.632272589527047,-0.6962151883650288,-1.2609344368503472,1.0525425528937378,-1.262526995332367,0.4394767145464071,-0.6269130652120943,-0.7122405396139659,-0.8624495368951024
22094.pdb,-0.5692599620493359,24.8581345930323,-0.07689464481087917,-0.5815897679353883,0.25128050089156195,-1.5329629903016146,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.13779722643102035,0.12638899931920364,0.9433942021545032,-0.8529201000249693,1.0052965438760828,0.09333933090933037,0.45099565967002636,-0.3885734288425756,0.3399506751316111
22099.pdb,-0.5649473865792655,23.44509982731193,-0.07689464481087917,1.533964670939782,0.25128050089156195,-0.38118257442846715,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,3.0081587370546496,2.7230725537134446,2.074891022271574,-1.4032025848790022,2.4507720924954177,-1.2697370820647471,2.4690720102223223,1.5890890186475994,2.9498997269647225
22112.pdb,-0.5433845092289118,23.782445965074004,-0.07689464481087917,0.9240751029757689,0.25128050089156195,-1.0552920939026895,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.6623699197735488,-0.5458816320708271,-1.4748073897828624,-0.48652636953959416,-0.09346648096908497,0.8920460920732276,0.032434568964547016,-0.011780519113762109,-0.7791919310015301
22108.pdb,-0.19406589615318265,24.043411845229567,-0.07689464481087917,0.8668979559791428,0.25128050089156195,-0.7825391856038952,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.08172917455601733,1.113953792018153,0.4851932032274602,0.2691703091576898,-0.404764986438874,0.18086564167393213,0.4226793183859075,-0.12512768606742905,0.21688036704303973
22162.pdb,-0.1811281697429706,24.274441024772823,-0.07689464481087917,-1.1343021889027751,1.5478021523792127,0.780490433973652,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.49744013837804,-0.563328928747261,-0.4105897496749105,-0.5006716583371773,0.23852336103807611,0.44297776697698266,0.2751414160400333,1.119507898410969,-0.3321481173735521
22168.pdb,-0.16819044333275854,24.06460275348276,-0.07689464481087917,0.3332445840106313,-0.03863508128985023,0.780490433973652,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.4709221925632384,-0.3975557099147363,-1.1038096776349484,0.03146795610255214,0.19210049060159518,-0.634879574652152,-0.4745581300960474,-1.0693841812352407,-0.7096140450564771
22176.pdb,-0.1552527169225465,24.04071872260421,-0.07689464481087917,-0.18134973895900472,-0.7957699901272574,0.780490433973652,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.4805120721559396,0.10765108069684098,-0.895710057288919,-1.0079032642420305,0.7621733395615994,-0.27450457779737436,-0.21242041434628722,-0.4491586721741459,-0.602582029321341
22106.pdb,-0.10350181128169766,24.07523695256561,-0.07689464481087917,0.8859570049780181,0.25128050089156195,0.3070592200871436,0.3070089512847606,0.6492299389672292,,0.25012215979228875,0.0,-0.1740776559556957,-0.2328925354215457,-0.5451775898708235,0.22764235505334143,-0.016309455718165524,-0.053004987703418986,-0.23009028745081697,0.1711035046664397,-0.17407765595569946,-0.6019900875083731,0.46411463059960417,-0.5569030665147287,-0.22378700283069164,-0.30754437484362973,-0.19980374731088565,0.3568969235278832,0.4616692393161835,-0.7278681646767649,0.40236555878221253,0.22410690669118538,-1.3944267407741608,-0.13690549369451807
