pdb,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
24305,47.0,7.0,32.92013376874849,-17,24147,6316,7717,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24306,33.4,7.0,32.92013376874849,-17,24147,6316,7717,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24307,34.6,7.0,32.92013376874849,-17,24147,6316,7717,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24308,44.1,7.0,32.92013376874849,-17,24147,6316,7717,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24309,49.1,7.0,32.924167724456645,-17,24250,6632,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24310,45.9,7.0,32.924167724456645,-17,24250,6632,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24311,43.2,7.0,32.924167724456645,-17,24250,6632,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24312,37.8,7.0,32.924167724456645,-17,24250,6632,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24313,58.1,7.0,32.924167724456645,-17,24250,6632,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24314,45.5,7.0,32.922727025989445,-17,24249,7254,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24315,37.8,7.0,32.922727025989445,-17,24249,7254,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24316,57.4,7.0,32.922727025989445,-17,24249,7254,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24317,44.1,7.0,33.72078300518915,-17,24146,6997,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24318,43.8,7.0,33.72078300518915,-17,24146,6997,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24319,48.0,7.0,33.87049790306017,-17,24120,5122,8248,3075,1973,0,8,43,103,554,320,940,455,1145,673,1932,689,817,2377,226,1369
24320,43.2,7.0,32.92013376874849,-17,24146,6997,8248,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24321,34.1,7.0,32.92013376874849,-17,24120,5122,8248,3075,1972,0,8,43,103,554,320,940,455,1145,672,1933,689,817,2377,226,1370
24322,43.2,7.0,32.92013376874849,-17,24120,5122,8248,3075,1972,0,8,43,103,554,320,940,455,1145,672,1933,689,817,2377,226,1370
24323,44.1,7.0,33.34581016106531,-17,24173,6316,8248,3108,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24324,34.6,7.0,33.34581016106531,-17,24173,6316,8248,3108,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24325,40.5,7.0,32.9262500139745,-17,24173,6316,6611,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24326,52.0,7.0,32.9262500139745,-17,24173,6316,6611,3075,2035,0,8,43,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
24327,25.0,7.2,33.16457052154467,-17,24148,6316,7889,3075,2098,0,8,42,89,517,285,905,455,1145,643,1992,689,779,2452,205,1349
24328,45.5,7.0,32.6104187314026,-16,24190,7445,8248,3075,2098,0,8,43,103,554,306,969,425,1109,622,1929,689,779,2451,205,1349
24329,57.5,7.0,32.6104187314026,-16,24190,7445,8248,3075,2098,0,8,43,103,554,306,969,425,1109,622,1929,689,779,2451,205,1349
24330,25.0,7.2,32.70448417393491,-17,24223,6316,8248,3096,2035,0,8,41,103,554,306,954,455,1145,643,1962,689,779,2415,205,1328
