tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
52.0,7.5,129.42205214782734,-6,63073,-1043,11857,59685,7050,5,15,103,369,4079,4033,3344,362,3999,3936,3228,10473,20686,17407,10192,17328
53.5,7.5,128.6960280065157,-6,63111,-521,11857,59385,7050,5,16,103,397,4227,4151,3465,362,3999,3908,3228,10478,20537,17405,10042,17209
50.0,7.5,129.7901122216799,-5,63115,-521,11857,59250,7050,5,16,103,397,4227,4151,3465,362,3999,3908,3228,10478,20537,17405,10042,17209
55.0,7.5,130.08378745838183,-5,63169,-521,11857,59245,7050,5,16,103,397,4227,4151,3465,362,3999,3908,3228,10478,20537,17405,10042,17209
56.0,7.5,129.1593487553217,-6,63069,-521,11857,59364,7168,5,15,104,369,4108,3975,3373,362,4027,3881,3255,10625,20537,17673,9898,17235
52.5,7.5,129.44848251714487,-5,62974,-521,11436,59685,6935,5,16,103,397,4263,4156,3431,362,4027,3908,3202,10625,20684,17371,10042,17057
54.5,7.5,128.968895960293,-6,63088,-521,11578,59685,7050,5,15,104,397,4232,4155,3462,362,3999,3908,3228,10473,20533,17408,10042,17209
50.5,7.5,129.32470201022107,-7,63102,-521,11857,60012,7050,5,15,104,369,4108,3976,3344,389,4178,4028,3344,10625,20533,17526,9895,17093
54.0,7.5,129.2836929664586,-6,63044,-521,12628,59685,7050,5,15,104,369,4108,4004,3344,362,4027,3908,3228,10625,20684,17526,10042,17209
48.0,7.5,129.28900229430874,-7,63099,-521,11668,59685,7050,5,15,104,369,4080,4004,3344,390,4153,4058,3348,10471,20534,17406,10042,17209
53.5,7.5,129.26487431644577,-6,63111,-521,12062,59685,7050,5,15,104,397,4234,4154,3464,362,3999,3908,3228,10471,20534,17406,10042,17209
54.0,7.5,129.29934285625,-5,63115,-521,11796,59685,7050,5,15,104,397,4234,4154,3464,362,3999,3908,3228,10471,20534,17406,10042,17209
