,prefix,rmsd
0,10975,0.19645607471466064
1,11679,0.1957736611366272
2,12084,0.1927037388086319
3,12642,0.0
4,12965,0.19360877573490143
5,13268,0.19659559428691864
6,13754,0.1934577226638794
7,14136,0.19283320009708405
8,14603,0.21523645520210266
9,15685,0.20416055619716644
10,16540,0.1990153193473816
11,17328,0.20119203627109528
12,17481,0.19379261136054993
13,17775,0.19310955703258514
14,17926,0.19543172419071198
15,18020,0.0
16,19480,0.19030499458312988
17,20065,0.18942807614803314
18,21069,0.19211018085479736
19,21614,0.20252211391925812
20,21879,0.19834965467453003
21,22093,0.18994241952896118
22,22386,0.1931123286485672
23,23422,0.19353781640529633
24,24305,0.1835780143737793
25,25918,0.19731543958187103
26,26901,0.18815143406391144
27,27797,0.18650339543819427
28,28792,0.1942782998085022
29,29235,0.19188432395458221
30,4889,0.18973273038864136
31,5092,0.1924086958169937
32,5134,0.18865057826042175
33,6410,0.1921321153640747
34,6490,0.192222461104393
35,972,0.18539611995220184
36,9834,0.19328121840953827
37,9904,0.19190570712089539
