,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
972.pdb,45.2,7.0,19.19292964021443,-7,13447,2826,6229,5941,506,1,3,29,19,188,108,222,65,317,185,381,366,429,884,116,504,750.303,1140.31,1478.36,-2246.37,-5102.25,3149.39,80.1578,292.734,-457.356
973.pdb,48.4,7.0,19.19292964021443,-7,13447,2826,6229,5941,506,1,3,29,19,188,108,222,65,317,185,381,366,429,884,116,504,716.472,1154.13,1476.28,-2270.06,-5056.29,3112.89,77.6677,282.335,-506.574
974.pdb,48.0,7.0,19.19292964021443,-7,13447,2826,6229,5941,506,1,3,29,19,188,108,222,65,317,185,381,366,429,884,116,504,745.348,1156.75,1485.82,-2256.01,-5072.2,3118.0,67.6302,290.688,-463.97
981.pdb,25.0,7.0,16.876961180763317,-7,13467,2826,8060,6034,539,1,4,27,19,181,108,229,65,306,185,392,340,414,877,116,519,513.575,116.895,1404.34,-2234.5,-5091.93,3136.8,-442.342,273.554,-2323.61
982.pdb,31.8,7.0,18.026408741073688,-6,13434,2826,8060,5365,572,1,3,28,19,181,108,236,54,281,170,370,340,414,902,116,534,493.991,114.968,1345.64,-2119.94,-5145.99,3130.87,-480.31,270.013,-2390.76
983.pdb,52.6,7.0,18.026408741073688,-6,13434,2826,8060,5365,572,1,3,28,19,181,108,236,54,281,170,370,340,414,902,116,534,511.092,108.848,1371.12,-2118.01,-5140.32,3122.81,-464.033,271.764,-2336.72
984.pdb,25.0,7.0,18.026408741073688,-6,13434,2826,8060,5365,572,1,3,28,19,181,108,236,54,281,170,370,340,414,902,116,534,529.531,112.882,1396.36,-2111.47,-5145.08,3120.42,-450.121,274.966,-2272.51
985.pdb,43.8,7.0,18.713033840851857,-7,13447,2826,7061,6013,508,1,4,32,19,188,108,222,65,318,185,380,366,429,882,116,504,499.618,117.335,1389.99,-2254.12,-5087.87,3141.01,-449.382,274.041,-2369.37
986.pdb,48.4,7.0,18.713033840851857,-7,13447,2826,7061,6013,508,1,4,32,19,188,108,222,65,318,185,380,366,429,882,116,504,499.12,113.501,1406.54,-2253.69,-5079.65,3136.03,-445.264,276.573,-2346.85
987.pdb,48.0,7.0,18.713033840851857,-7,13447,2826,7061,6013,508,1,4,32,19,188,108,222,65,318,185,380,366,429,882,116,504,500.021,114.109,1397.86,-2256.08,-5083.38,3141.0,-452.867,275.824,-2363.51
