,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
17926.pdb,48.8,7.0,-0.2387608198937965,-9,17560,1198,9833,7345,1009,2,2,25,15,217,132,275,76,451,276,562,607,765,1593,227,965,747.767,1154.98,2058.67,-2874.75,-7569.11,5803.27,-50.3175,379.491,-350.002
17927.pdb,38.0,7.0,-0.2387608198937965,-9,17560,1198,9833,7345,1009,2,2,25,15,217,132,275,76,451,276,562,607,765,1593,227,965,832.156,1173.05,2071.58,-2875.93,-7579.23,5818.95,-53.2456,386.651,-226.018
17928.pdb,44.9,7.0,-0.2116752347466555,-9,17603,1198,9728,7345,964,2,2,25,15,224,132,268,76,464,276,549,643,785,1602,227,945,826.366,1157.2,2053.79,-2883.01,-7460.04,5665.7,4.2315,385.511,-250.254
17929.pdb,47.7,7.0,-0.2084516744432054,-9,17596,1198,9740,6763,1009,2,2,26,15,217,132,275,76,451,276,562,608,764,1592,227,966,1078.08,1264.46,2168.34,-2887.37,-7448.61,5643.92,131.075,390.599,340.493
17930.pdb,25.0,7.0,-0.01045785879018,-9,17553,2195,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945,1287.42,1465.29,2141.71,-2884.34,-7532.87,5708.93,285.261,404.366,875.764
17931.pdb,44.5,7.0,-0.01045785879018,-9,17553,2195,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945,1411.08,1415.87,2189.76,-2946.67,-7485.34,5752.3,298.74,451.577,1087.31
17932.pdb,43.0,7.0,-0.01045785879018,-9,17553,2195,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945,1228.59,1417.46,2198.4,-2936.41,-7459.71,5713.86,319.88,406.687,888.76
17933.pdb,42.6,7.0,-0.060171890307683,-9,17567,1328,9740,7345,920,2,2,27,15,224,138,262,76,464,288,537,643,820,1567,249,967,1288.53,1294.24,2166.05,-2807.56,-7597.26,5718.81,175.01,396.786,634.621
17934.pdb,25.0,7.0,-0.060171890307683,-9,17567,1328,9740,7345,920,2,2,27,15,224,138,262,76,464,288,537,643,820,1567,249,967,1246.8,1364.36,2192.05,-2790.21,-7634.11,5726.17,201.418,391.491,697.977
17935.pdb,41.6,7.0,-0.060171890307683,-9,17567,1328,9740,7345,920,2,2,27,15,224,138,262,76,464,288,537,643,820,1567,249,967,1164.96,1362.35,2173.68,-2804.39,-7613.89,5748.89,160.831,388.967,581.403
17936.pdb,35.6,7.0,0.0032789130764987,-9,17560,997,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923,971.589,1188.25,2163.62,-2856.41,-7577.41,5770.7,0.847414,395.152,56.3568
17937.pdb,36.9,7.0,0.0032789130764987,-9,17560,997,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923,971.761,1200.82,2117.31,-2871.31,-7525.67,5714.7,-50.4738,383.546,-59.3191
17938.pdb,25.0,7.0,0.0032789130764987,-9,17560,997,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923,990.585,1116.75,2157.15,-2893.33,-7508.81,5744.59,84.3212,390.501,81.7573
17939.pdb,39.9,7.0,-0.0114390567806568,-9,17583,979,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923,1087.72,1266.17,2197.71,-2893.95,-7461.56,5640.0,82.1922,375.804,294.093
17940.pdb,42.1,7.0,-0.0114390567806568,-9,17583,979,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923,1091.28,1238.12,2200.37,-2875.23,-7484.13,5632.6,86.9409,381.126,271.089
17941.pdb,25.0,7.0,-0.0114390567806568,-9,17583,979,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923,1218.62,1241.17,2207.54,-2868.61,-7482.46,5638.2,103.987,384.235,442.683
