,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
16540.pdb,20.0,7.0,36.2357253585348,7,32910,13581,4395,4328,4468,0,19,33,584,1781,820,3302,271,1221,558,2273,1297,1211,4910,271,2273,970.367,184.261,3386.03,-4487.51,-15154.8,10958.0,-1305.33,739.802,-4709.09
16541.pdb,20.0,7.0,36.64104654769992,7,32884,13581,4395,4649,4374,0,19,33,584,1781,853,3269,271,1221,582,2249,1297,1262,4859,295,2343,1045.98,217.103,3403.22,-4298.82,-15339.1,10979.9,-1288.35,754.835,-4525.23
16542.pdb,50.9,7.0,38.94379485230541,8,32913,13581,4395,4640,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1576.56,357.529,3561.21,-4486.89,-15056.6,10966.7,-1139.26,775.421,-3445.32
16543.pdb,20.0,7.0,38.94379485230541,8,32913,13581,4395,4640,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1464.58,277.15,3484.02,-4442.16,-15098.2,10948.0,-1192.12,767.375,-3791.41
16544.pdb,40.0,5.4,38.22034603576754,8,33024,13581,4395,4725,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1188.66,213.793,3313.72,-4451.72,-15241.0,10931.1,-1307.08,747.158,-4605.29
16545.pdb,20.0,7.0,39.01874675672149,8,32887,13581,4395,4961,4280,0,19,33,617,1832,876,3331,271,1221,582,2225,1297,1263,4807,295,2319,1039.03,226.187,3355.89,-4696.1,-15059.3,11087.4,-1322.41,761.992,-4607.24
16546.pdb,20.0,7.0,38.54296510260199,8,32990,13581,4395,4562,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1501.86,299.893,3542.67,-4410.42,-15206.4,10990.9,-1065.96,786.011,-3561.45
16547.pdb,20.0,7.0,39.10289085249996,8,32914,13581,4395,4193,4468,0,19,33,584,1780,820,3302,271,1221,558,2272,1297,1211,4911,271,2273,1304.72,209.186,3529.36,-4390.63,-15266.5,10958.9,-1224.36,783.997,-4095.29
16548.pdb,20.0,7.0,39.323775048662185,8,32888,13581,4395,4514,4374,0,19,33,584,1780,853,3269,271,1221,581,2249,1297,1263,4859,295,2343,1644.68,1336.15,3730.65,-4350.29,-15420.2,11152.6,-445.024,853.892,-1497.53
16549.pdb,20.0,7.0,37.4724649820814,7,32910,13581,4302,4475,4468,0,17,32,583,1780,821,3303,271,1221,558,2272,1297,1211,4911,271,2272,1163.47,202.988,3397.7,-4225.14,-15399.6,10960.1,-1336.28,743.204,-4493.63
16550.pdb,20.0,7.0,35.67220511536693,7,33021,13581,5117,4475,4468,0,17,32,583,1780,821,3303,271,1221,558,2272,1297,1211,4911,271,2272,4535.37,1117.36,4417.22,-4341.42,-15665.5,11607.6,1231.3,1582.98,4484.84
16551.pdb,20.0,7.0,37.65897839169596,7,32884,13581,4167,4475,4374,0,17,32,583,1780,855,3269,271,1221,581,2249,1297,1263,4859,294,2343,1428.19,1288.29,3727.83,-4211.43,-15501.9,11088.9,-478.257,819.389,-1838.93
16552.pdb,20.0,7.0,38.3754675612936,9,32926,13581,4430,4475,4468,0,17,32,617,1832,844,3397,248,1169,535,2178,1297,1211,4911,271,2272,1152.43,214.49,3591.85,-4447.4,-15104.5,10982.3,-1274.4,743.447,-4141.72
16553.pdb,20.0,7.0,38.55266928653811,8,32959,13581,3757,4475,4466,0,19,33,617,1796,844,3399,271,1197,558,2273,1246,1188,4818,271,2272,1485.12,306.621,3572.81,-4495.31,-15183.5,11016.2,-1149.61,790.97,-3656.72
16554.pdb,50.1,7.0,37.23543342571352,8,32973,13581,4208,4475,4374,0,19,33,617,1796,880,3363,271,1197,582,2249,1246,1239,4767,294,2341,1198.77,203.556,3458.51,-4546.6,-15124.0,10954.4,-1272.25,745.249,-4382.39
16555.pdb,48.9,7.0,37.23543342571352,8,32973,13581,4208,4475,4374,0,19,33,617,1796,880,3363,271,1197,582,2249,1246,1239,4767,294,2341,1101.57,204.314,3521.99,-4544.11,-15147.2,11027.7,-1270.47,751.095,-4355.12
16556.pdb,20.0,7.0,37.23543342571352,8,32973,13581,4208,4475,4374,0,19,33,617,1796,880,3363,271,1197,582,2249,1246,1239,4767,294,2341,1186.81,219.345,3523.49,-4536.09,-15137.8,11005.4,-1222.95,755.022,-4206.69
16557.pdb,20.0,7.0,38.75198787074184,8,32933,13581,3622,4475,4374,0,19,33,617,1796,880,3363,271,1197,582,2249,1246,1239,4767,294,2341,1150.7,206.575,3493.99,-4580.91,-15063.9,11015.5,-1312.37,760.429,-4329.95
16558.pdb,20.0,7.0,37.48674816231821,8,33036,13581,5059,4475,4466,0,19,33,617,1796,844,3399,271,1197,558,2273,1246,1188,4818,271,2272,1428.18,215.143,3395.48,-4580.39,-15094.4,10993.6,-1247.87,769.85,-4120.41
16559.pdb,51.1,7.0,38.916642353344905,8,32966,13581,3911,4475,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,2000.4,2940.61,3873.56,-4368.3,-15355.1,11177.6,9.33568,902.143,1180.31
16560.pdb,20.0,7.0,38.916642353344905,8,32966,13581,3911,4475,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1336.68,228.199,3611.79,-4391.03,-15284.9,10998.6,-1153.46,775.581,-3878.55
16561.pdb,52.5,7.0,38.916642353344905,8,32966,13581,3911,4475,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,2113.07,2989.14,3838.04,-4456.75,-15273.8,11222.4,88.7499,941.169,1461.97
16562.pdb,20.0,7.0,39.12555426697826,8,32913,13581,3864,4475,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1067.82,217.941,3462.37,-4474.44,-15222.3,11091.5,-1298.77,771.219,-4384.68
16563.pdb,20.0,7.0,39.23316606621837,8,32887,13581,3729,4475,4282,0,19,33,617,1832,879,3328,271,1221,582,2225,1297,1262,4808,295,2317,1665.54,1300.41,3712.17,-4509.43,-15206.1,11106.8,-423.958,806.18,-1548.39
16564.pdb,20.0,7.0,38.55006507973766,8,32990,13581,5166,4475,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1381.58,278.911,3420.44,-4444.03,-15137.9,10906.3,-1161.01,765.881,-3989.85
16565.pdb,20.0,7.0,39.454825163889886,8,32912,13581,3093,4475,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1189.36,192.67,3602.33,-4549.49,-15130.5,10995.6,-1318.41,761.522,-4256.94
16566.pdb,20.0,7.0,39.628382407237055,8,32886,13581,2958,4475,4282,0,19,33,617,1832,879,3328,271,1221,582,2225,1297,1262,4808,295,2317,1066.34,199.35,3436.93,-4644.82,-15092.4,11055.6,-1248.49,766.028,-4461.54
16567.pdb,20.0,7.0,37.18364693265056,7,32910,13581,4302,4475,4465,0,19,33,582,1780,820,3307,271,1221,558,2273,1297,1211,4911,271,2273,1312.11,251.081,3713.15,-4320.81,-15188.5,10974.3,-1115.91,779.537,-3595.07
16568.pdb,20.0,7.0,34.890174704600334,7,33021,13581,5117,4475,4465,0,19,33,582,1780,820,3307,271,1221,558,2273,1297,1211,4911,271,2273,1203.73,1310.4,3561.88,-4394.79,-15233.9,10972.8,-763.744,784.887,-2558.69
16569.pdb,20.0,7.0,37.42125892024134,7,32884,13581,4167,4475,4374,0,19,33,582,1780,855,3272,271,1221,582,2249,1297,1263,4859,295,2340,1208.86,204.01,3439.79,-4304.64,-15177.3,10833.2,-1322.53,744.047,-4374.61
16570.pdb,20.0,7.0,39.2071506200323,8,32912,13581,4395,4553,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249,1179.04,195.364,3427.54,-4402.99,-15323.6,11029.6,-1331.74,756.054,-4470.75
16571.pdb,20.0,7.0,39.334394737292286,8,32886,13581,4395,4874,4281,0,19,33,617,1832,879,3328,271,1221,581,2226,1297,1263,4807,294,2319,1466.38,379.056,3584.83,-4438.24,-15114.5,10849.5,-1085.53,760.694,-3597.82
16572.pdb,20.0,7.0,38.27620843033885,9,32956,13581,4395,3827,4467,0,19,31,617,1832,844,3399,249,1169,535,2178,1297,1211,4911,271,2272,1977.94,1507.76,3777.2,-4636.28,-14874.2,10952.2,-275.667,811.885,-759.162
