pdb,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
12642,25.0,7.0,7.172067319497002,3,12637,-835,11166,744,568,0,6,21,44,179,143,333,20,128,100,232,162,270,638,101,501
12643,25.0,7.0,8.699279628142248,3,12653,-835,11353,744,568,0,6,22,44,188,134,333,20,135,93,232,179,266,673,88,466
12644,25.0,7.0,9.105519175871748,4,12695,-835,11775,744,569,0,6,21,53,197,147,367,20,128,93,232,162,253,637,88,466
12645,25.0,7.0,7.841231892451179,3,12672,-835,12180,744,569,0,6,23,54,197,147,366,20,128,93,233,162,253,637,88,466
12646,25.0,7.0,7.325813525065317,3,12659,-835,11901,744,636,0,6,21,44,179,124,352,20,128,86,246,162,235,673,75,459
12647,25.0,7.0,7.477471509545576,3,12623,-835,10715,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12648,25.0,7.0,7.309208636253607,3,12637,-835,11166,744,570,0,6,21,44,179,144,332,20,128,99,233,162,272,636,101,499
12649,25.0,7.0,7.231719155132306,3,12734,-835,11530,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12650,25.0,7.0,7.341311421289574,3,12700,-835,12017,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12651,25.0,7.0,7.335776458352341,3,12699,-835,11246,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12652,25.0,7.0,7.290389762267007,3,12702,-835,11053,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12653,25.0,7.0,7.474150531783237,3,12653,-835,11353,744,570,0,6,21,44,189,134,332,20,134,93,233,181,266,669,88,466
12654,25.0,7.0,5.94849763427628,4,12654,-835,12352,414,603,0,6,20,44,179,144,342,14,109,86,206,162,272,655,101,512
12655,25.0,7.0,8.765049212321175,3,12597,-835,12352,909,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12656,25.0,7.0,7.0559568337048395,3,12611,-835,12352,1227,569,0,6,21,44,179,144,332,20,128,99,233,162,271,637,101,500
12657,25.0,7.0,7.382033669098749,3,12674,-835,12352,831,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12658,25.0,7.0,3.4248886636341918,4,12624,-835,12352,1172,603,0,6,21,44,179,144,342,14,110,87,204,162,271,655,100,514
12659,25.0,7.0,7.887256189926993,3,12562,-835,12352,680,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12660,25.0,7.0,3.8666022673691613,3,12673,-835,12352,765,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12661,25.0,7.0,7.25599751536502,3,12637,-835,11166,744,571,0,6,21,44,179,144,332,20,128,100,232,162,272,636,101,498
12662,25.0,7.0,7.949503211721313,3,12653,-835,11353,744,571,0,6,21,44,189,134,332,20,135,93,232,181,266,668,88,466
12663,25.0,7.0,7.865233403190508,3,12623,-835,10715,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12664,25.0,7.0,7.266752954467665,3,12637,-835,11166,744,571,0,6,21,44,179,143,333,20,128,100,232,162,272,636,102,497
12665,25.0,7.0,7.361249867423903,3,12699,-835,11246,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12666,25.0,7.0,7.853421289070975,3,12653,-835,11353,744,571,0,6,21,44,188,134,333,20,135,93,232,181,267,668,88,465
12667,25.0,7.0,7.337842781830115,3,12596,-835,11050,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12668,25.0,7.0,7.322977358836218,3,12610,-835,11501,744,570,0,6,21,44,179,143,333,20,128,100,232,162,271,637,102,498
12669,25.0,7.0,7.316131440352186,3,12707,-835,11865,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12670,25.0,7.0,6.7938190582837,3,12657,-835,12165,744,603,0,6,19,44,170,143,342,20,122,99,239,144,257,621,102,513
12671,25.0,7.0,7.4037086752499475,3,12597,-835,12352,909,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12672,25.0,7.0,7.311208184405699,3,12611,-835,12352,1227,569,0,6,21,44,179,144,332,20,128,98,234,162,271,637,102,499
12673,25.0,7.0,7.328856304369402,3,12674,-835,12352,831,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12674,25.0,7.0,7.048696564927233,3,12657,-835,12165,744,603,0,6,21,44,170,143,342,20,121,100,239,144,257,622,102,512
12675,25.0,7.0,7.285105102404489,3,12637,-835,11166,744,570,0,6,21,44,179,143,333,20,128,100,232,162,271,637,102,498
12676,25.0,7.0,7.689475434168709,3,12653,-835,11353,744,570,0,6,22,44,188,134,333,20,135,93,232,180,267,670,88,465
12677,25.0,7.0,6.536147556647191,3,12612,-835,12352,780,603,0,6,19,35,162,129,308,20,128,100,239,162,270,655,102,513
12678,25.0,7.0,7.325813525065317,3,12680,-504,12352,744,603,0,6,19,44,170,143,342,20,121,100,239,145,256,621,102,513
12679,25.0,7.0,5.241022472723855,2,12669,-835,12618,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12680,25.0,7.0,7.1774691096390635,3,12637,-835,11166,744,569,0,6,21,44,179,143,333,20,128,100,232,162,271,637,101,500
12681,25.0,7.0,9.303739064082041,3,12660,-835,10408,744,569,0,6,21,44,179,143,333,20,128,100,232,162,271,637,101,500
12682,25.0,7.0,8.651023636206519,3,12653,-835,11353,744,569,0,6,21,44,188,134,333,20,135,93,232,180,266,671,88,466
12683,25.0,7.0,8.644163768633735,3,12594,-835,12014,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12684,25.0,7.0,7.458428638323679,3,12608,-835,12465,744,570,0,6,21,44,179,144,332,20,128,99,233,162,271,637,102,498
12685,25.0,7.0,6.912366407259834,3,12705,-835,12829,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12686,25.0,7.0,7.684654419764413,3,12671,-835,13316,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12687,25.0,7.0,7.645649974688424,3,12670,-835,12545,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12688,25.0,7.0,7.0362679568375475,3,12610,-835,11501,744,570,0,6,21,44,179,143,333,20,128,99,233,162,272,636,102,498
12689,25.0,7.0,7.247164497717752,3,12611,-835,12352,1227,569,0,6,21,44,179,142,334,20,128,99,233,162,272,636,102,499
12690,25.0,7.0,5.633355719193353,2,12554,-835,12352,920,603,0,4,18,36,160,128,309,20,128,100,239,162,272,655,102,512
12691,25.0,7.0,7.295710671290292,3,12703,-835,12352,1279,569,0,6,23,44,189,134,332,20,135,93,232,181,266,670,88,466
12692,25.0,7.0,5.951116536005869,3,12723,-835,12352,711,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12693,25.0,7.0,7.735443875833883,3,12627,-835,12352,1444,569,0,6,21,44,187,134,334,20,134,93,233,181,267,670,88,465
12694,25.0,7.0,7.296320139809979,3,12647,-835,12352,876,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12695,25.0,7.0,8.52393311773194,3,12626,-835,11688,744,570,0,6,21,44,188,134,333,20,134,93,233,181,267,669,88,465
12696,25.0,7.0,7.186032905920876,3,12646,-835,12687,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12697,25.0,7.0,8.620761101588142,3,12624,-835,12652,744,570,0,6,22,44,189,134,332,20,134,93,233,180,267,670,88,465
12698,25.0,7.0,7.575441973551643,3,12644,-835,13651,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12699,25.0,7.0,10.169446683272255,3,12710,-835,12352,818,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12700,25.0,7.0,8.092699768885508,3,12638,-835,12068,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
12701,25.0,7.0,8.019274490221875,3,12612,-835,13174,744,603,0,6,21,44,179,134,342,20,128,93,239,162,253,655,88,479
