pdb,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
16540,20.0,7.0,36.2357253585348,7,32910,13581,4395,4328,4468,0,19,33,584,1781,820,3302,271,1221,558,2273,1297,1211,4910,271,2273
16541,20.0,7.0,36.641046547699915,7,32884,13581,4395,4649,4374,0,19,33,584,1781,853,3269,271,1221,582,2249,1297,1262,4859,295,2343
16542,50.9,7.0,38.94379485230541,8,32913,13581,4395,4640,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249
16543,20.0,7.0,38.94379485230541,8,32913,13581,4395,4640,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249
16544,40.0,5.4,38.22034603576754,8,33024,13581,4395,4725,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249
16545,20.0,7.0,39.01874675672149,8,32887,13581,4395,4961,4280,0,19,33,617,1832,876,3331,271,1221,582,2225,1297,1263,4807,295,2319
16546,20.0,7.0,38.54296510260199,8,32990,13581,4395,4562,4374,0,19,33,617,1832,844,3363,271,1221,558,2249,1297,1211,4859,271,2249
16547,20.0,7.0,39.10289085249996,8,32914,13581,4395,4193,4468,0,19,33,584,1780,820,3302,271,1221,558,2272,1297,1211,4911,271,2273
16548,20.0,7.0,39.323775048662185,8,32888,13581,4395,4514,4374,0,19,33,584,1780,853,3269,271,1221,581,2249,1297,1263,4859,295,2343
16549,20.0,7.0,37.4724649820814,7,32910,13581,4302,4475,4468,0,17,32,583,1780,821,3303,271,1221,558,2272,1297,1211,4911,271,2272
16550,20.0,7.0,35.67220511536693,7,33021,13581,5117,4475,4468,0,17,32,583,1780,821,3303,271,1221,558,2272,1297,1211,4911,271,2272
16551,20.0,7.0,37.65897839169596,7,32884,13581,4167,4475,4374,0,17,32,583,1780,855,3269,271,1221,581,2249,1297,1263,4859,294,2343
16552,20.0,7.0,38.3754675612936,9,32926,13581,4430,4475,4468,0,17,32,617,1832,844,3397,248,1169,535,2178,1297,1211,4911,271,2272
16553,20.0,7.0,38.55266928653811,8,32959,13581,3757,4475,4466,0,19,33,617,1796,844,3399,271,1197,558,2273,1246,1188,4818,271,2272
